"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-1b6f75ae1e25495faae2b9aced7cd718","CompositionRelationship","","","id-7d9092b7a1134cefa7f16309e000b67a","id-75489b12ce6640caaeddabe8563db09d",""
"id-3315b97190814d8591bd0eb79c7f3c4c","CompositionRelationship","","","id-7d9092b7a1134cefa7f16309e000b67a","id-8ab72e2fc7ea48419adefec95d6afd44",""
"id-0523ec1a8f194ccd86a1423db38651e6","CompositionRelationship","","","id-7d9092b7a1134cefa7f16309e000b67a","id-43af92b59c624e889d6fc2ea88b434aa",""
"id-f82747ff0b1746f2969a8840482bf42f","CompositionRelationship","","","id-7d9092b7a1134cefa7f16309e000b67a","id-4f4be9a4116244298b1d848d302cb6f9",""
"id-c67e6dfbf71c45c5ba192cd918900e99","CompositionRelationship","","","id-7d9092b7a1134cefa7f16309e000b67a","id-cb0195ab75334702a46b4d7724653b59",""
"id-51f133ed94bd43de8031414195b7d055","CompositionRelationship","","","id-f92bf3b3d2ea42e3b403e064b2ff3e90","id-d50e813967c041e7b38dff45f0d183ca",""
"id-add50171c033491295c4ba1987b75f8c","CompositionRelationship","","","id-7d9092b7a1134cefa7f16309e000b67a","id-7cd74329dc3a4acd8d06e260d68f69cc",""
"id-fba93073bd5f4c26b87bcfdc081cd978","CompositionRelationship","","","id-4f4be9a4116244298b1d848d302cb6f9","id-97aac01d6db34468b76e1aa65882edb3",""
"id-e35d619ea9594558b8edfad9ee03a4b4","CompositionRelationship","","","id-7d9092b7a1134cefa7f16309e000b67a","id-f92bf3b3d2ea42e3b403e064b2ff3e90",""
"id-aa253ba73992455aa963fea5aedef7cc","CompositionRelationship","","","id-7cd74329dc3a4acd8d06e260d68f69cc","id-4d3acedc0b0a494e8b47cb49b6f7ca8a",""
"id-41e692d80a9d47309c198c10ef8295dc","CompositionRelationship","","","id-7d9092b7a1134cefa7f16309e000b67a","id-83499bb2d6eb49d8bfcff8bcab82483e",""
"id-a4c468ef00bb4ecb9897cd7c1931c388","FlowRelationship","","","id-7cd74329dc3a4acd8d06e260d68f69cc","id-83499bb2d6eb49d8bfcff8bcab82483e",""
"id-5e64f61afe964e68b0c6cb34dfd88616","FlowRelationship","","","id-cb0195ab75334702a46b4d7724653b59","id-83499bb2d6eb49d8bfcff8bcab82483e",""
"id-34b7684ce72c44a4a907907175ebd842","FlowRelationship","","","id-43af92b59c624e889d6fc2ea88b434aa","id-83499bb2d6eb49d8bfcff8bcab82483e",""
"id-a5e6e79eec96428ba300a93c2af12967","FlowRelationship","","","id-83499bb2d6eb49d8bfcff8bcab82483e","id-43af92b59c624e889d6fc2ea88b434aa",""
"id-8d1fa3b1f0494b61b6715f754f1a44c2","FlowRelationship","","","id-83499bb2d6eb49d8bfcff8bcab82483e","id-75489b12ce6640caaeddabe8563db09d",""
"id-b970def5ff9d426390efa6847deac7b9","FlowRelationship","","","id-83499bb2d6eb49d8bfcff8bcab82483e","id-cb0195ab75334702a46b4d7724653b59",""
"id-61da4544416c42b285d46ffb484660f6","FlowRelationship","","","id-75489b12ce6640caaeddabe8563db09d","id-83499bb2d6eb49d8bfcff8bcab82483e",""
"id-359dc714e49b4d30b54850a3b15466dd","FlowRelationship","Authentication + data","","id-83499bb2d6eb49d8bfcff8bcab82483e","id-f92bf3b3d2ea42e3b403e064b2ff3e90",""
"id-edfb3de012514a0c80a822b5c18a4af4","FlowRelationship","Authentication + responses","","id-83499bb2d6eb49d8bfcff8bcab82483e","id-4f4be9a4116244298b1d848d302cb6f9",""
"id-23df9dff07fd4648a183769b97a9c29c","FlowRelationship","Chat requests","","id-4f4be9a4116244298b1d848d302cb6f9","id-83499bb2d6eb49d8bfcff8bcab82483e",""
"id-700b5da3a388451daf0ee30f40904ade","FlowRelationship","Data entry","","id-f92bf3b3d2ea42e3b403e064b2ff3e90","id-83499bb2d6eb49d8bfcff8bcab82483e",""
"id-641b998d3ceb48389306f655007ea6a2","FlowRelationship","Progress feedback + LLM requests","","id-8ab72e2fc7ea48419adefec95d6afd44","id-83499bb2d6eb49d8bfcff8bcab82483e",""
"id-23a50685c9dd4bb8a57f1090b2f6f90f","FlowRelationship","User logs + LLM responses","","id-83499bb2d6eb49d8bfcff8bcab82483e","id-8ab72e2fc7ea48419adefec95d6afd44",""
"id-229c6773b3e64cbe972e9da34e5098af","RealizationRelationship","","","id-f92bf3b3d2ea42e3b403e064b2ff3e90","id-3aa54a37589b4980b0d6e2c0356dbf9a",""
"id-8e414a2753994211b5a45a396d3cac30","RealizationRelationship","","","id-f92bf3b3d2ea42e3b403e064b2ff3e90","id-202ef5be437c4b2394e09ab6e83121b0",""
"id-bdcd6fd5d48345e18e4e3bd588a753a3","RealizationRelationship","","","id-f92bf3b3d2ea42e3b403e064b2ff3e90","id-c0b139f36f3943e4bf4796d61d8c6b8e",""
"id-fa0ab7034cd64a12ad3d2e32cf4f9a96","RealizationRelationship","","","id-7cd74329dc3a4acd8d06e260d68f69cc","id-d97eacbac5d742029b86b09aab781a70",""
"id-3fbbfb5809384508820d44d36cc4e1f0","RealizationRelationship","","","id-8ab72e2fc7ea48419adefec95d6afd44","id-8deadbd5462247b4bf6b15e642f6a57e",""
"id-127210493d9745ef87aa7081ed2de2e8","RealizationRelationship","","","id-f92bf3b3d2ea42e3b403e064b2ff3e90","id-e3b0f1ec2d084026be85cab2069ac2c4",""
"id-81b960825cc54ff6b9e2b7d86ad41cf1","RealizationRelationship","","","id-4f4be9a4116244298b1d848d302cb6f9","id-05552d648cd5463a81f617e3c3da5472",""
"id-43d5565a1f55481ab41bc87bb4d57668","RealizationRelationship","","","id-f92bf3b3d2ea42e3b403e064b2ff3e90","id-c0080c71866a4dd2b4a94a9d64d4ebb9",""
"id-c9cae33777e943008042fc96d3d882ff","RealizationRelationship","","","id-f92bf3b3d2ea42e3b403e064b2ff3e90","id-ef23c27142a344f897dd9260767fb8b6",""
"id-adc7383277cd4649a80d6b67429972d5","RealizationRelationship","","","id-43af92b59c624e889d6fc2ea88b434aa","id-66764608219548688943f886f7d979d8",""
"id-0e3a566ff5c5423fa2de85d713c7a148","RealizationRelationship","","","id-f92bf3b3d2ea42e3b403e064b2ff3e90","id-0932ca152fcf4ad3a60082c11a2a41cd",""
"id-41daee8a390c413389de452d85fdba37","RealizationRelationship","","","id-cb0195ab75334702a46b4d7724653b59","id-05a1f1a7014c446bb78fccc44df1fd2f",""
"id-b7c9272069d0445fb4757ca256ab4fec","RealizationRelationship","","","id-f92bf3b3d2ea42e3b403e064b2ff3e90","id-33f7ee57efc94c66883982f3d6ef43d3",""
"id-1dabd904bf744d24996f6dbbb778d91e","RealizationRelationship","","","id-75489b12ce6640caaeddabe8563db09d","id-d4596db562bf4cfea3d9800ae6c52ead",""
"id-f758ef528ff843babfb372d0571a275b","RealizationRelationship","","","id-7cd74329dc3a4acd8d06e260d68f69cc","id-9d0ac1ee6035448791f88948eab059a3",""
"id-5ae1bb67bf3c4f6297a29dcbefbafb4f","ServingRelationship","","","id-3aa54a37589b4980b0d6e2c0356dbf9a","id-f92bf3b3d2ea42e3b403e064b2ff3e90",""